fperson,fquote,together
Eric Greitens,"Of course fear does not automatically lead to courage. Injury does not necessarily lead to insight. Hardship will not automatically make us better. Pain can break us or make us wiser. Suffering can destroy us or make us stronger. Fear can cripple us, or it can make us more courageous. It is resilience that makes the difference.","""Of course fear does not automatically lead to courage. Injury does not necessarily lead to insight. Hardship will not automatically make us better. Pain can break us or make us wiser. Suffering can destroy us or make us stronger. Fear can cripple us, or it can make us more courageous. It is resilience that makes the difference."" --Eric Greitens"
Karren Brady,"The most important characteristics you need to succeed in business are resilience, determination and persistence.","""The most important characteristics you need to succeed in business are resilience, determination and persistence."" --Karren Brady"
A. P. J. Abdul Kalam,"When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives.","""When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives."" --A. P. J. Abdul Kalam"
Elizabeth Edwards,"You all know that I have been sustained throughout my life by three saving graces - my family, my friends, and a faith in the power of resilience and hope. These graces have carried me through difficult times and they have brought more joy to the good times than I ever could have imagined.","""You all know that I have been sustained throughout my life by three saving graces - my family, my friends, and a faith in the power of resilience and hope. These graces have carried me through difficult times and they have brought more joy to the good times than I ever could have imagined."" --Elizabeth Edwards"
Eddie the Eagle,Resilience can go an awful long way.,"""Resilience can go an awful long way."" --Eddie the Eagle"
Angie Thomas,Basketball requires discipline. So does writing. Basketball requires practice. So does writing. Basketball requires resilience. So does writing.,"""Basketball requires discipline. So does writing. Basketball requires practice. So does writing. Basketball requires resilience. So does writing."" --Angie Thomas"
Jeff Bezos,"Because, you know, resilience - if you think of it in terms of the Gold Rush, then you'd be pretty depressed right now because the last nugget of gold would be gone. But the good thing is, with innovation, there isn't a last nugget. Every new thing creates two new questions and two new opportunities.","""Because, you know, resilience - if you think of it in terms of the Gold Rush, then you'd be pretty depressed right now because the last nugget of gold would be gone. But the good thing is, with innovation, there isn't a last nugget. Every new thing creates two new questions and two new opportunities."" --Jeff Bezos"
Elie Wiesel,I marvel at the resilience of the Jewish people. Their best characteristic is their desire to remember. No other people has such an obsession with memory.,"""I marvel at the resilience of the Jewish people. Their best characteristic is their desire to remember. No other people has such an obsession with memory."" --Elie Wiesel"
Hillary Clinton,I have a lot of stamina and I have a lot of resilience.,"""I have a lot of stamina and I have a lot of resilience."" --Hillary Clinton"
Phil Klay,"Resilience is, of course, necessary for a warrior. But a lack of empathy isn't.","""Resilience is, of course, necessary for a warrior. But a lack of empathy isn't."" --Phil Klay"
Hannah Gadsby,"We need to hear stories from older women. There's a wealth of wisdom and real resilience there, but they're silenced.","""We need to hear stories from older women. There's a wealth of wisdom and real resilience there, but they're silenced."" --Hannah Gadsby"
George Monbiot,"I believe resilience is the most useful human quality, and I've sought to cultivate it, but in 2019 I felt my resolve begin to weaken at times as it has never done before.","""I believe resilience is the most useful human quality, and I've sought to cultivate it, but in 2019 I felt my resolve begin to weaken at times as it has never done before."" --George Monbiot"
Ram Nath Kovind,"The resilience, tenacity and zeal of our valiant air warriors is a source of pride for every Indian.","""The resilience, tenacity and zeal of our valiant air warriors is a source of pride for every Indian."" --Ram Nath Kovind"
Eric Greitens,"Resilience is distinct from mere survival, and more than mere endurance. Resilience is often endurance with direction.","""Resilience is distinct from mere survival, and more than mere endurance. Resilience is often endurance with direction."" --Eric Greitens"
Amy Morin,"Although most of us don't spend time thinking about our thoughts, increasing your awareness of your thinking habits proves useful in building resilience.","""Although most of us don't spend time thinking about our thoughts, increasing your awareness of your thinking habits proves useful in building resilience."" --Amy Morin"
Brad Henry,"Resilience is woven deeply into the fabric of Oklahoma. Throw us an obstacle, and we grow stronger.","""Resilience is woven deeply into the fabric of Oklahoma. Throw us an obstacle, and we grow stronger."" --Brad Henry"
Sheryl Sandberg,"I think there are things that we can all do to build resilience in ourselves, but also to build resilience in each other.","""I think there are things that we can all do to build resilience in ourselves, but also to build resilience in each other."" --Sheryl Sandberg"
Jane McGonigal,"There is no problem that doesn't have some underlying need for more optimism, stamina, resilience and collaboration. And games are, I believe, the best platform we have for providing that.","""There is no problem that doesn't have some underlying need for more optimism, stamina, resilience and collaboration. And games are, I believe, the best platform we have for providing that."" --Jane McGonigal"
Amy Morin,Proactively working to develop mental strength increases your resilience to stress and reduces the toll it takes on you both physically and mentally.,"""Proactively working to develop mental strength increases your resilience to stress and reduces the toll it takes on you both physically and mentally."" --Amy Morin"
Steven Pressfield,"All of us need to begin to think in terms of our own inner strengths, our resilience and resourcefulness, our capacity to adapt and to rely upon ourselves and our families.","""All of us need to begin to think in terms of our own inner strengths, our resilience and resourcefulness, our capacity to adapt and to rely upon ourselves and our families."" --Steven Pressfield"
Muhammad Yunus,Human beings have enormous resilience.,"""Human beings have enormous resilience."" --Muhammad Yunus"
Maria Konnikova,"If you are lucky enough to never experience any sort of adversity, we won't know how resilient you are. It's only when you're faced with obstacles, stress, and other environmental threats that resilience, or the lack of it, emerges: Do you succumb or do you surmount?","""If you are lucky enough to never experience any sort of adversity, we won't know how resilient you are. It's only when you're faced with obstacles, stress, and other environmental threats that resilience, or the lack of it, emerges: Do you succumb or do you surmount?"" --Maria Konnikova"
Elizabeth Edwards,"Part of resilience is deciding to make yourself miserable over something that matters, or deciding to make yourself miserable over something that doesn't matter.","""Part of resilience is deciding to make yourself miserable over something that matters, or deciding to make yourself miserable over something that doesn't matter."" --Elizabeth Edwards"
Jeannie Mai,"My ultimate getaway is Vietnam. It has a little bit of everything when it comes to culture, amazing food, beautiful people, exotic sights, sounds and profound history of love, bravery and resilience.","""My ultimate getaway is Vietnam. It has a little bit of everything when it comes to culture, amazing food, beautiful people, exotic sights, sounds and profound history of love, bravery and resilience."" --Jeannie Mai"
Brene Brown,"My husband's a pediatrician, so he and I talk about parenting all the time. You can't raise children who have more shame resilience than you do.","""My husband's a pediatrician, so he and I talk about parenting all the time. You can't raise children who have more shame resilience than you do."" --Brene Brown"
